timestamp,process_id, process_name, execution_processid
02-02-2025 05:46:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 05:16:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 06:58:52,0x23c,C:\Windows\System32\lsass.exe,572
02-02-2025 07:26:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:34:56,0x23c,C:\Windows\System32\lsass.exe,572
02-02-2025 10:46:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:16:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:06:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:06:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 13:56:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 15:26:58,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 06:46:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:06:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:20:00,0x25c,C:\Windows\System32\lsass.exe,604
02-02-2025 00:14:46,0x25c,C:\Windows\System32\lsass.exe,604
02-02-2025 00:46:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 00:16:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 00:26:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 00:56:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:36:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 01:37:35,0x27c,C:\Windows\System32\lsass.exe,4
02-02-2025 02:36:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:16:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:12:50,0x25c,C:\Windows\System32\lsass.exe,604
02-02-2025 04:33:37,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 04:36:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 06:06:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 06:06:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 05:06:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 05:26:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 05:36:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:56:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:36:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 07:46:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:43:32,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 08:16:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 08:46:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:46:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:16:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 13:56:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:56:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:56:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 13:46:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:55:59,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 14:46:58,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:46:58,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:26:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:23:10,0x25c,C:\Windows\System32\lsass.exe,604
02-02-2025 12:36:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 12:16:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 11:56:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 13:05:56,0x2c8,C:\Windows\System32\lsass.exe,712
02-02-2025 03:06:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 03:06:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:46:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:56:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:26:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:26:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 09:36:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 08:56:55,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 08:56:05,0x25c,C:\Windows\System32\lsass.exe,604
02-02-2025 10:46:56,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 10:49:06,0x25c,C:\Windows\System32\lsass.exe,604
02-02-2025 14:26:57,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 14:36:58,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 00:26:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:26:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 02:06:53,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 03:56:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 03:56:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
02-02-2025 03:26:54,0x65c,C:\Windows\System32\wbem\WmiPrvSE.exe,712
